,flight_number,origin,dest
21935,9E 5399,CLE,LGA
21939,UA 1289,SAN,EWR
21947,YX 3649,PWM,EWR
21951,UA 341,EWR,SAT
21952,9E 4900,LGA,RIC
21957,9E 3422,DCA,JFK
21965,9E 5180,LGA,OMA
21968,OO 3792,LGA,ORD
21972,YX 6039,LGA,MEM
21980,OO 3500,LGA,BNA
21981,C5 4978,EWR,CLE
21991,YX 6093,LGA,SDF
21999,B6 227,EWR,FLL
22007,9E 3440,BNA,LGA
22010,9E 3365,SAV,LGA
22023,YX 6104,LGA,MSN
22033,9E 5361,LGA,PIT
22036,YX 3708,EWR,CMH
22043,DL 2528,LGA,MSY
22054,C5 4886,STL,EWR
22062,9E 5127,JFK,CLE
22074,AA 2187,CLT,EWR
22077,C5 4980,EWR,SYR
22081,YX 3629,CHS,EWR
22089,WN 206,EWR,MDW
22090,YX 6035,LGA,MKE
22091,YX 3670,GSO,EWR
22093,EV 4037,EWR,ROC
22104,EV 4043,GSO,EWR
22105,9E 3292,LGA,PIT
22109,DL 1673,LGA,TPA
22133,YX 6077,LGA,PIT
22134,C5 4977,BGR,EWR
22146,YX 5965,LGA,PIT
22156,C5 4964,EWR,DTW
22157,OO 3828,SAV,LGA
22171,9E 4802,JFK,DFW
22172,AA 1894,LGA,CLT
22174,YX 3534,IND,EWR
22181,YX 3557,LGA,ORD
22183,OO 3896,GSO,LGA
22186,AA 194,JFK,SAT
22199,UA 1440,EWR,FLL
22228,YX 4633,RIC,LGA
22239,WN 3875,LGA,STL
22240,DL 758,LGA,BOS
22262,WN 4672,MDW,LGA
22264,WN 636,BNA,EWR
22265,DL 555,JFK,JAC
22269,WN 1191,DEN,EWR
22280,OO 3593,JFK,ORD
22281,DL 1672,JFK,CLT
22285,C5 4985,PVD,EWR
22288,AA 2898,ORD,EWR
22290,WN 1597,LGA,TPA
22291,DL 735,TPA,LGA
22293,C5 4937,LGA,IAD
22294,AA 65,LAS,JFK
22311,DL 517,LGA,BOS
22312,OO 3963,BOS,JFK
22316,OO 3591,JFK,PIT
22319,YX 5870,SDF,LGA
22328,YX 3601,MSY,EWR
22329,DL 1998,BOS,LGA
22347,YX 5871,DFW,LGA
22352,9E 5123,PIT,LGA
22362,DL 2952,LGA,MCO
22364,AA 52,ORD,JFK
22375,YX 3422,BNA,EWR
22380,WN 1050,MDW,LGA
22382,C5 4888,CHS,EWR
22384,EV 3996,EWR,DAY
22396,9E 5449,CHS,JFK
22401,EV 4421,EWR,ORF
22407,DL 1707,BOS,JFK
22410,WN 2030,LGA,ATL
22424,OO 3830,IAH,LGA
22425,DL 2672,JFK,CLT
22429,9E 4815,JFK,RDU
22435,9E 5034,BNA,LGA
22441,9E 5219,GSP,LGA
22449,WN 668,ATL,LGA
22451,UA 1271,DEN,LGA
22469,YX 3405,ATL,EWR
22473,DL 1041,ATL,LGA
22477,AA 1315,LGA,MIA
22483,9E 3435,MCI,LGA
22485,C5 4938,EWR,STL
22499,WN 767,LGA,HOU
22503,YX 5876,ROC,LGA
22504,DL 1006,LGA,IAH
22519,YX 6012,IND,LGA
22523,AA 2250,ORD,LGA
22533,9E 3326,RDU,LGA
22534,9E 3451,SYR,LGA
22537,DL 704,LGA,FLL
22541,YX 3754,EWR,IND
22543,WN 870,EWR,BNA
22545,C5 4922,EWR,GRR
22554,9E 5391,BNA,LGA
22559,OO 3510,BNA,LGA
22571,9E 5117,LGA,CVG
22572,DL 2985,BOS,LGA
22586,YX 5894,LGA,JAX
22591,UA 1967,PWM,EWR
22592,YX 5978,BOS,LGA
22596,C5 4985,EWR,RIC
22603,UA 523,BNA,EWR
22607,DL 315,RSW,LGA
22644,OO 4060,RIC,LGA
22645,YX 3510,CLE,EWR
22649,YX 6065,LGA,MCI
22654,WN 775,HOU,LGA
22669,DL 1085,JFK,FLL
22675,G4 1319,CVG,EWR
22676,DL 2286,DTW,JFK
22687,F9 2960,MIA,EWR
22696,9E 3422,JFK,PWM
22702,DL 925,MCO,LGA
22706,WN 3733,LGA,MDW
22712,OO 3629,GSO,LGA
22713,DL 802,DTW,JFK
22722,UA 2174,PBI,EWR
22730,9E 3307,JFK,BTV
22739,C5 4901,EWR,GSP
22740,UA 1050,DCA,EWR
22743,AA 2756,JFK,PHX
22745,DL 1989,FLL,LGA
22747,AA 157,DFW,JFK
22748,YX 3507,EWR,GSO
22755,DL 2646,LGA,MCO
22756,9E 4811,ROC,LGA
22757,9E 5189,LGA,SDF
22763,C5 4987,IND,EWR
22770,9E 4766,LGA,MCI
22773,DL 1354,DTW,EWR
22776,B6 2124,LAX,JFK
22784,9E 5104,SYR,LGA
22788,WN 1037,STL,EWR
22789,9E 5391,CVG,LGA
22830,DL 1994,LGA,BOS
22831,UA 1407,EWR,CHS
22832,DL 1004,JFK,DTW
22838,WN 573,MDW,EWR
22845,YX 5961,LGA,PIT
22848,DL 2691,DTW,EWR
22849,B6 1084,MCO,JFK
22854,DL 1408,JFK,LAS
22858,B6 305,EWR,MCO
22863,9E 5253,LGA,ORF
22884,UA 1124,LAS,EWR
22885,WN 2603,STL,LGA
22891,DL 1799,ATL,JFK
22900,9E 5033,JFK,BOS
22909,DL 2109,LGA,DFW
22916,OO 3793,LGA,RIC
22934,DL 794,LGA,MCO
22946,WN 762,BNA,LGA
22951,UA 2345,SRQ,EWR
22952,YX 3567,SRQ,EWR
22955,DL 2500,LGA,DFW
22957,OO 3708,BOS,JFK
22959,G4 1351,SAV,EWR
22974,WN 5117,DAL,LGA
22975,DL 2703,BOS,LGA
22983,C5 4909,DTW,EWR
22984,DL 2231,JFK,TPA
22985,WN 4296,DEN,LGA
22987,OO 4441,MKE,LGA
22991,YX 4285,ATL,LGA
22999,C5 4887,ORF,EWR
23004,WN 358,MDW,EWR
23008,9E 5444,CVG,JFK
23023,9E 5383,GSO,LGA
23028,YX 3738,ORD,LGA
23032,9E 5050,LGA,ROC
23033,G7 6197,DTW,EWR
23049,YX 3667,ROC,EWR
23057,DL 2652,ATL,LGA
23075,9E 5366,JFK,IAD
23083,OO 3723,BOS,LGA
23084,YX 6091,JFK,CMH
23086,9E 5362,CAE,LGA
23087,DL 1982,LGA,MIA
23089,WN 4710,LGA,ATL
23092,DL 631,ATL,JFK
23093,9E 3298,LGA,MEM
23098,OO 3834,JFK,BNA
23101,WN 1875,LGA,ATL
23103,AA 1300,CLT,LGA
23112,DL 907,TPA,LGA
23115,AA 2410,LGA,MIA
23123,B6 2890,SJU,EWR
23133,MQ 3850,PIT,LGA
23135,B6 2529,JFK,RSW
23138,DL 868,SFO,JFK
23145,DL 964,LGA,PBI
23149,MQ 4147,PIT,LGA
23151,WN 1318,EWR,MDW
23159,YX 3707,OMA,EWR
23163,WN 2360,LGA,ATL
23167,OO 3793,MKE,LGA
23176,AA 2394,DFW,JFK
23192,AA 1439,PHX,EWR
23204,EV 4417,SYR,EWR
23205,9E 5231,PIT,LGA
23216,9E 3472,TYS,LGA
23235,DL 1878,EWR,ATL
23247,EV 4439,EWR,MEM
23277,C5 4994,STL,EWR
23305,OO 3803,ORD,LGA
23317,9E 5171,JFK,DCA
23321,UA 440,ORD,EWR
23329,9E 4782,OMA,LGA
23346,OO 3654,SYR,LGA
23371,DL 1057,LGA,BOS
23375,YX 6095,BHM,LGA
23382,AA 229,CLT,EWR
23411,G7 6193,CVG,EWR
23421,YX 6121,STL,LGA
23453,WN 5125,LGA,DAL
23455,AA 1247,LGA,MIA
23458,9E 5347,PIT,LGA
23466,YX 6114,CMH,LGA
23468,WN 2323,DAL,LGA
23470,UA 1923,SNA,EWR
23485,DL 1980,LGA,ATL
23495,EV 4435,GRR,EWR
23504,NK 750,TPA,EWR
23505,DL 1419,JFK,DTW
23508,DL 1499,PHX,JFK
23515,YX 6057,LGA,RDU
23523,YX 6023,LGA,JAX
23529,DL 433,MSY,JFK
23541,WN 4813,EWR,MDW
23546,9E 5103,LGA,BTV
23549,DL 3051,LGA,PBI
23551,DL 2470,LGA,PBI
23552,WN 1310,LGA,TPA
23561,UA 2035,EWR,DEN
23562,C5 4913,PWM,EWR
23567,EV 4188,EWR,GSP
23575,C5 4983,JAX,EWR
23583,C5 4885,EWR,BUF
23597,UA 1821,LGA,ORD
23603,DL 1578,DFW,LGA
23611,C5 4888,EWR,BUF
23617,B6 1918,JFK,BOS
23629,OO 3770,LGA,MSN
23633,AA 1240,JFK,MCO
23635,DL 2968,SEA,JFK
23641,UA 2036,EWR,GRR
23642,DL 637,LGA,ORD
23643,DL 318,LGA,DFW
23650,YX 3631,RIC,EWR
23677,C5 5001,EWR,DCA
23682,EV 4367,EWR,DCA
23686,WN 2556,LGA,DEN
23687,DL 2375,FLL,LGA
23694,WN 1699,MDW,LGA
23695,9E 5156,JFK,SYR
23697,WN 5489,LGA,STL
23698,C5 5010,EWR,SYR
23700,WN 223,DEN,EWR
23701,UA 780,ORD,EWR
23711,WN 4024,EWR,MDW
23722,OO 3806,CHS,LGA
23723,9E 4890,LGA,RDU
23725,OO 3916,MKE,LGA
23768,9E 3295,LGA,RDU
23782,UA 1102,ORD,LGA
23788,UA 1825,EWR,SFO
23794,WN 2455,BNA,LGA
23797,DL 1590,JFK,SJU
23813,C5 5014,EWR,IND
23819,DL 2869,TPA,JFK
23820,YX 3672,RDU,EWR
23821,YX 6072,LGA,PIT
23831,DL 1315,JFK,RSW
23833,YX 3529,EWR,PIT
23838,UA 1130,EWR,RSW
23844,OO 3710,BNA,JFK
23848,WN 433,SAN,EWR
23855,YX 6049,LGA,RDU
23857,EV 4381,EWR,BUF
23876,C5 4964,EWR,PVD
23878,OO 3789,CLE,LGA
23887,OO 3716,LGA,ROC
23891,9E 5250,MSY,LGA
23896,AA 429,JFK,CLT
23898,9E 3430,EWR,CVG
23904,EV 4116,GRR,EWR
23909,DL 1422,BOS,JFK
23917,YX 6130,LGA,IND
23921,9E 3431,JFK,BNA
23922,OO 4089,DCA,JFK
23924,YX 6058,LGA,RDU
23934,9E 5243,MCI,LGA
23938,WN 704,LGA,STL
23947,G7 6263,EWR,DTW
23960,OO 3955,JFK,ORD
23997,UA 364,LGA,DEN
23998,YX 6096,BOS,JFK
24008,EV 4293,PWM,EWR
24013,WN 4455,DAL,LGA
24016,9E 5151,CLE,LGA
24018,YX 3739,RIC,EWR
24026,C5 4924,EWR,CLE
24032,DL 2088,DTW,EWR
24037,DL 554,ATL,JFK
24039,WN 3311,MDW,LGA
24041,AS 1665,JFK,SJC
24044,OO 3823,RIC,LGA
24053,DL 1660,LGA,MIA
24067,WN 5192,BNA,LGA
24068,9E 3466,LGA,LEX
24080,DL 1067,JFK,FLL
24100,DL 3036,LGA,BOS
24103,WN 5117,LGA,ATL
24104,WN 362,MKE,LGA
24119,DL 2070,SEA,JFK
24122,YX 5992,LGA,GRR
24123,NK 1146,EWR,ATL
24125,DL 3088,ORD,LGA
24131,G7 6239,EWR,RDU
24132,WN 512,EWR,PHX
24135,WN 895,MCI,LGA
24138,WN 1414,LGA,DAL
24143,WN 6010,DAL,LGA
24144,C5 4902,EWR,ORF
24146,B6 2938,JFK,MVY
24151,OH 5016,JFK,DCA
24153,DL 755,JFK,RSW
24158,YX 4279,RDU,LGA
24172,OO 3673,CLE,LGA
24182,UA 1130,IAD,EWR
24191,YX 3681,CLE,EWR
24205,9E 3356,JFK,BUF
24215,9E 3475,JFK,SYR
24228,AS 1409,JFK,LAX
24241,C5 5014,BTV,EWR
24247,9E 3358,JFK,BUF
24258,UA 1519,EWR,PBI
24259,UA 1513,EWR,JAX
24266,UA 572,AUS,EWR
24275,9E 5064,LGA,ORF
24292,YX 6015,ROC,LGA
24294,WN 1387,LGA,TPA
24296,OO 4126,LGA,ORD
24299,C5 4922,MEM,EWR
24308,DL 430,SFO,JFK
24313,OO 3550,LGA,BNA
24320,UA 2294,EWR,BOS
24333,YX 6005,LGA,IAH
24337,OO 3586,CLE,LGA
24342,F9 2035,LGA,MCO
24346,WN 2268,HOU,LGA
24353,DL 2908,EWR,DTW
24360,DL 2217,JFK,SJU
24363,UA 1642,EWR,TPA
24364,9E 5290,DFW,JFK
24369,C5 4939,GSO,EWR
24376,9E 3446,LGA,MKE
24382,OO 3967,JFK,BOS
24386,MQ 3874,LGA,RIC
24395,YX 3628,LGA,CLE
24401,WN 3694,LGA,DEN
24403,OO 3934,CLE,JFK
24405,WN 5433,LGA,MCO
24416,WN 1335,LGA,ATL
24418,WN 4387,MSY,LGA
24445,DL 2144,DEN,LGA
24449,YX 4451,ORF,LGA
24462,EV 4478,GSP,EWR
24479,DL 1526,JFK,SJU
24482,C5 4987,EWR,DTW
24494,OO 3642,MKE,LGA
24497,DL 1480,JFK,DEN
24499,B6 1618,JFK,BOS
24500,YX 6121,JFK,BOS
24520,9E 5303,DTW,EWR
24533,EV 3966,BGR,EWR
24540,EV 4388,EWR,SYR
24541,WN 2420,DAL,LGA
24578,9E 3405,EWR,MSP
24581,DL 600,CHS,JFK
24583,AA 1143,PHX,EWR
24595,YX 3488,EWR,DAY
24614,WN 915,STL,EWR
24617,YX 3556,MSN,EWR
24618,WN 3956,LGA,ATL
24630,C5 4894,PVD,EWR
24638,DL 2058,ATL,LGA
24640,UA 391,SFO,EWR
24655,UA 1298,EWR,MIA
24684,YX 5910,LGA,CMH
24686,YX 5871,SDF,LGA
24691,DL 1221,JFK,DEN
24702,WN 251,EWR,MDW
24723,YX 5870,BOS,LGA
24728,G4 1302,CVG,EWR
24729,DL 1306,MIA,LGA
24731,9E 5248,LGA,PIT
24740,MQ 3536,LGA,GSO
24755,UA 1129,RSW,EWR
24763,YX 4620,DAB,LGA
24764,9E 5262,BTV,LGA
24780,9E 5410,CLE,JFK
24781,YX 3418,BGR,EWR
24786,UA 2065,SFO,EWR
24802,WN 246,LGA,DEN
24805,B6 1089,JFK,SAN
24824,DL 1522,LGA,RSW
24825,DL 2303,JFK,DEN
24827,DL 2724,MSY,LGA
24830,OO 3642,RDU,LGA
24834,DL 2766,JFK,DTW
24842,OO 3804,ORD,LGA
24843,WN 2024,LGA,MDW
24852,YX 3546,EWR,OMA
24869,C5 4994,EWR,BTV
24891,UA 1429,EWR,BNA
24892,YX 4456,LGA,PBI
24894,WN 1333,LGA,MDW
24914,C5 4951,JAX,EWR
24919,DL 1540,JFK,TPA
24927,MQ 3787,JFK,IND
24931,DL 717,SEA,JFK
24932,YX 4644,LGA,ATL
24949,EV 4323,SBN,EWR
24958,9E 5139,LGA,CVG
24961,YX 5941,LGA,DCA
24963,DL 1572,LGA,MCO
24983,AA 631,JFK,CLT
25007,9E 5155,JFK,CLE
25013,OO 3526,BNA,LGA
25014,WN 2558,MDW,LGA
25023,UA 1791,EWR,ORD
25026,WN 3492,LGA,MSY
25034,C5 4958,GRR,EWR
25039,G7 6191,DTW,EWR
25047,C5 4928,EWR,MEM
25057,G7 6204,DTW,EWR
25069,AA 452,EWR,ORD
25075,C5 4935,GSO,EWR
25076,DL 848,LGA,MCO
25088,DL 2664,LGA,RSW
25096,UA 645,JAX,EWR
25107,DL 1817,PBI,LGA
25110,WN 2325,AUS,EWR
25115,UA 496,MIA,EWR
25117,DL 890,BOS,LGA
25136,YX 6057,SYR,LGA
25149,OO 4159,JFK,BOS
25155,C5 4987,ORF,EWR
25156,DL 738,ATL,EWR
25171,YX 5895,IND,LGA
25181,9E 5224,PIT,JFK
25183,AA 398,ORD,LGA
25186,EV 4015,BTV,EWR
25187,WN 4179,LGA,ATL
25211,YX 5913,LGA,CLT
25233,YX 5870,LGA,SDF
25243,DL 1881,IAH,JFK
25244,DL 1277,JFK,PDX
25256,C5 4916,EWR,RIC
25272,DL 1731,EWR,MSP
25277,C5 4968,EWR,BUF
25278,OO 5634,LGA,ORD
25281,DL 1807,MCO,JFK
25284,9E 5453,LGA,CLE
25286,DL 1512,LAS,JFK
25301,OO 3768,OMA,LGA
25307,EV 4004,EWR,BOS
25309,9E 3337,JFK,ORF
25310,G7 6191,EWR,DTW
25311,OO 3654,LGA,SYR
25322,WN 1835,PHX,EWR
25331,WN 824,EWR,BWI
25340,9E 5151,ACK,LGA
25350,WN 4386,HOU,LGA
25351,EV 4068,LGA,ORD
25374,UA 1748,DFW,EWR
25377,WN 1564,DAL,LGA
25384,OO 3582,LGA,GSP
25389,YX 5970,DFW,LGA
25396,9E 5303,BNA,JFK
25399,B6 2326,TPA,JFK
25421,B6 2192,ACK,JFK
25423,UA 1764,EWR,PBI
25451,YX 3712,RDU,EWR
25455,YX 6031,LGA,BOS
25470,YX 3448,MSY,EWR
25472,9E 5415,CLE,JFK
25490,WN 4219,MSY,LGA
25503,9E 3387,RIC,JFK
25519,DL 1333,LGA,BOS
25537,WN 5217,LGA,BNA
25570,AS 340,SFO,EWR
25571,EV 4318,CHS,EWR
25572,YX 6067,CLT,LGA
25574,WN 2025,MDW,EWR
25581,WN 1738,LGA,MCI
25586,OO 3960,DFW,LGA
25591,C5 5019,IND,EWR
25600,OO 3875,DSM,LGA
25609,DL 967,LGA,MCO
25610,WN 1211,MCI,LGA
25617,C5 4921,GSO,EWR
25619,9E 3450,JFK,DCA
25630,WN 4143,LGA,ATL
25634,OO 4001,ORD,LGA
25637,C5 4971,EWR,ROC
25640,OO 3963,MSP,EWR
25643,DL 1634,CLT,JFK
25645,UA 493,EWR,DFW
25650,UA 1062,CLT,EWR
25666,DL 2575,DTW,EWR
25670,UA 2216,EWR,LAS
25675,DL 639,DEN,JFK
25680,UA 215,EWR,LAX
25685,DL 380,EWR,ATL
25686,9E 5318,EWR,MSP
25687,OO 3782,JFK,BOS
25692,WN 235,HOU,LGA
25697,AS 1251,JFK,LAS
25713,9E 3311,LGA,SAV
25732,WN 4794,LGA,HOU
25734,B6 380,EWR,BOS
25735,C5 5011,EWR,DCA
25752,UA 1070,EWR,LAS
25759,C5 4996,IAD,LGA
25768,C5 4890,GSP,EWR
25773,EV 3989,EWR,MEM
25776,OO 3880,CLE,LGA
25780,WN 3255,STL,LGA
25788,C5 4989,EWR,MKE
25804,YX 6064,CLE,LGA
25814,9E 5111,LGA,BGR
25839,OH 5487,ORF,LGA
25850,9E 3353,LGA,BGR
25879,OO 4847,LGA,MKE
25881,YX 6131,ROC,LGA
25900,YX 3728,EWR,CMH
25906,YX 5884,LGA,RIC
25919,C5 5019,STL,EWR
25935,9E 4919,LGA,BGR
25948,WN 2623,TPA,LGA
25949,WN 365,MSY,LGA
25951,EV 4347,EWR,SBN
25966,YX 3597,EWR,DFW
25981,UA 1845,MCO,EWR
25984,OO 3584,MKE,LGA
26009,9E 4806,LGA,BGR
26017,B6 2817,BOS,JFK
26021,DL 1328,LGA,TPA
26022,WN 4992,LGA,STL
26025,DL 2303,LGA,TPA
26026,YX 6108,LGA,JAX
26029,9E 5195,EWR,MSP
26034,9E 5252,LGA,BUF
26036,DL 488,LGA,DFW
26038,WN 1125,LGA,HOU
26042,OO 3910,DFW,JFK
26078,WN 1748,EWR,MDW
26085,WN 656,HOU,LGA
26091,9E 4803,CHS,LGA
26117,9E 5090,STL,LGA
26125,WN 1795,MSY,LGA
26140,WN 879,LGA,HOU
26142,UA 997,EWR,SRQ
26145,9E 3446,LGA,BGR
26148,WN 1377,LGA,MKE
26152,UA 1191,LGA,ORD
26156,DL 2757,LGA,PBI
26176,YX 6061,LGA,STL
26184,WN 4990,LGA,DEN
26185,YX 6119,CMH,LGA
26190,WN 3994,ATL,LGA
26196,YX 6106,SDF,LGA
26197,C5 4909,EWR,RIC
26200,DL 984,LGA,TPA
26206,WN 5410,DEN,LGA
26223,WN 3004,STL,EWR
26231,YX 6088,JFK,DCA
26238,9E 3352,LGA,RSW
26243,WN 2526,LGA,STL
26246,YX 3541,EWR,DFW
26255,DL 2922,TPA,JFK
26263,DL 2198,JFK,LAS
26266,WN 385,EWR,MDW
26268,YX 5931,MSN,LGA
26272,9E 3387,LGA,JAX
26274,9E 3459,SAV,JFK
26279,EV 4303,EWR,MEM
26281,9E 5059,BUF,LGA
26285,UA 1510,SEA,EWR
26288,9E 5138,JFK,ORD
26306,9E 3467,CLT,LGA
26321,DL 423,PHX,JFK
26324,9E 5187,LGA,CVG
26327,WN 2502,BNA,LGA
26336,UA 2306,ROC,EWR
26337,9E 4774,JFK,RIC
26351,9E 5158,JFK,DTW
26361,WN 2153,LGA,STL
26368,WN 2021,MDW,LGA
26377,DL 2436,LGA,PBI
26382,UA 2372,SFO,EWR
26384,YX 3476,EWR,CVG
26392,DL 320,DFW,LGA
26406,9E 5427,JAX,LGA
26407,DL 1120,SEA,JFK
26418,C5 4884,ROC,EWR
26420,YX 3641,ROC,EWR
26428,AA 2465,ORD,EWR
26438,G4 2953,EWR,TYS
26463,DL 1053,TPA,JFK
26464,UA 2403,EWR,MCO
26471,OO 3841,BOS,JFK
26475,DL 1204,DTW,LGA
26492,C5 4907,EWR,PVD
26498,YX 5932,DCA,LGA
26499,UA 561,LGA,DEN
26501,DL 1825,MSY,LGA
26503,9E 5071,LGA,STL
26505,UA 1026,IAD,EWR
26506,B6 2791,LGA,ACK
26517,9E 5155,LEX,LGA
26521,AA 25,ORD,JFK
26529,OO 3789,ORD,LGA
26535,UA 247,EWR,PBI
26539,9E 3317,ROC,JFK
26550,G7 6258,EWR,DTW
26561,YX 6059,LGA,GSO
26564,MQ 3594,PHL,JFK
26585,YX 4354,CMH,LGA
26606,WN 4036,DAL,LGA
26607,UA 369,EWR,SJU
26611,C5 4348,DCA,EWR
26620,DL 773,JFK,FLL
26643,OO 4094,MKE,LGA
26646,WN 5985,STL,LGA
26647,9E 5268,LGA,JAX
26650,WN 2244,LGA,DEN
26662,YX 3435,DFW,EWR
26666,9E 5021,CLT,JFK
26675,B6 402,FLL,JFK
26687,WN 3296,MDW,LGA
26694,9E 5162,MEM,LGA
26711,9E 5093,LGA,CHO
26719,9E 3470,ROC,JFK
26723,YX 3661,EWR,GRR
26724,EV 3994,CLE,EWR
26732,EV 4249,STL,EWR
26733,WN 2740,BNA,LGA
26739,9E 3340,LGA,CLT
26760,B6 805,EWR,FLL
26768,AA 429,CLT,JFK
26772,9E 3401,LGA,CLE
26781,C5 4941,MKE,EWR
26793,WN 2936,MDW,EWR
26796,C5 4900,EWR,MEM
26800,9E 5402,LGA,BUF
26807,DL 1147,MCO,JFK
26812,9E 3429,EWR,CVG
26819,YX 3731,EWR,GRR
26820,WN 2020,LGA,DAL
26826,MQ 3491,PWM,LGA
26828,9E 3323,ORF,LGA
26832,AA 2247,RDU,LGA
26839,DL 2662,JFK,CLT
26844,DL 2857,LGA,BOS
26863,G7 6276,EWR,CVG
26868,AA 1621,CLT,JFK
26882,G7 6239,RDU,EWR
26888,UA 649,DEN,LGA
26913,9E 5253,CHO,LGA
26924,OO 5431,ORD,LGA
26928,EV 4329,CLE,EWR
26931,9E 5085,LGA,CHA
26944,DL 2040,LGA,MSY
26953,EV 4155,CLE,LGA
26987,WN 2078,LGA,DAL
26994,DL 1581,PHX,JFK
26997,9E 3490,BOS,JFK
27003,UA 2382,RDU,EWR
27009,WN 2403,MDW,LGA
27010,9E 3379,LGA,GSP
27015,C5 4956,SYR,EWR
27019,EV 3992,BUF,EWR
27024,AS 536,LAX,EWR
27025,WN 2387,STL,EWR
27026,YX 6039,LGA,DCA
27033,YX 6026,BOS,LGA
27034,9E 5299,JFK,BWI
27048,EV 4056,EWR,BUF
27050,9E 3484,LGA,CLE
27052,UA 1460,EWR,LAX
27065,9E 5142,BUF,LGA
27066,C5 5024,RIC,EWR
27079,EV 4252,EWR,ROC
27080,AA 774,EWR,ORD
27081,EV 4028,EWR,SAV
27082,DL 950,JFK,PDX
27086,UA 2332,EWR,MSY
27090,9E 3469,MSN,LGA
27101,YX 6013,BOS,EWR
27103,DL 2563,FLL,JFK
27118,DL 1975,JFK,AUS
27126,YX 3583,LGA,ORD
27136,WN 1558,LGA,HOU
27142,9E 3372,JFK,PIT
27156,YX 5917,LGA,SDF
27157,C5 4880,EWR,ROC
27158,C5 4887,EWR,GSP
27164,YX 6021,LGA,ROC
27168,DL 2718,LGA,ORD
27170,DL 2777,ATL,EWR
27181,YX 3596,GRR,EWR
27189,UA 1466,EWR,PWM
27193,C5 5010,EWR,RIC
27201,ZW 3902,LGA,IAD
27203,YX 5989,BOS,LGA
27207,9E 5251,ORF,LGA
27210,9E 5174,JFK,BOS
27215,WN 1992,PHX,EWR
27218,OO 3843,LGA,RIC
27226,9E 5237,JFK,DFW
27228,UA 1139,EWR,IAD
27241,C5 5023,EWR,IND
27267,EV 4123,EWR,MHT
27308,AA 309,ORD,EWR
27311,9E 5113,EWR,CVG
27333,EV 4078,EWR,GSO
27340,DL 1893,JFK,SAT
27374,DL 2689,ORD,LGA
27382,WN 5547,DAL,LGA
27383,9E 5052,LGA,PWM
27394,9E 5480,JFK,DTW
27414,OO 4234,MEM,LGA
27417,9E 5203,DFW,JFK
27425,YX 3472,EWR,RDU
27444,C5 4956,EWR,CLE
27457,WN 1757,DEN,LGA
27463,C5 4931,CHS,EWR
27473,WN 1308,EWR,MDW
27481,AA 1631,JFK,CLT
27495,WN 1154,LGA,MDW
27504,YX 4320,LGA,DCA
27515,DL 691,CVG,LGA
27523,EV 4089,CLE,EWR
27531,OO 4658,SAV,LGA
27536,YX 3615,SAV,EWR
27537,YX 6106,SRQ,JFK
27547,YX 6067,LGA,IAH
27551,DL 1210,LGA,DFW
27554,OO 3738,LGA,BNA
27568,WN 2020,BNA,LGA
27572,DL 795,SJU,JFK
27576,YX 5870,ROC,LGA
27582,OO 4857,LGA,GSO
27585,AA 208,DFW,LGA
27601,YX 3542,BTV,EWR
27615,WN 2120,EWR,DEN
27618,YX 5945,LGA,DCA
27619,OO 3595,MSP,EWR
27633,WN 3132,EWR,STL
27641,B6 706,MCO,EWR
27665,OO 4088,LGA,RIC
27673,UA 425,EWR,RDU
27677,YX 3661,SDF,EWR
27678,9E 5052,ORD,JFK
27688,9E 4894,LGA,MEM
27705,B6 2123,JFK,LAX
27716,OO 5615,ORD,LGA
27730,9E 3435,LGA,TYS
27731,9E 5251,LGA,CLE
27733,9E 5260,DTW,JFK
27734,DL 2192,ORD,LGA
27735,B6 1601,JFK,FLL
27737,DL 1856,LGA,ATL
27748,OO 3597,MSP,EWR
27750,EV 4075,EWR,ORF
27756,EV 4021,BTV,EWR
27768,WN 3817,MDW,EWR
27771,MQ 4142,PHL,JFK
27783,C5 5006,SYR,EWR
27818,DL 1280,MCO,LGA
27821,DL 1840,JFK,PHX
27825,YX 3748,EWR,SYR
27832,YX 3620,EWR,MSY
27848,C5 5009,EWR,BGR
27866,DL 1614,ORD,LGA
27869,C5 4942,GSO,EWR
27872,DL 2588,LGA,MSP
27882,9E 5020,MHT,LGA
27887,YX 3638,EWR,SYR
27916,YX 5906,LGA,HHH
27919,9E 3299,LGA,CVG
27924,OO 3677,MCI,LGA
27946,YX 6082,LGA,BOS
27947,9E 5162,LGA,JAX
27957,YX 5889,LGA,BOS
27971,YX 4702,PHL,LGA
27984,WN 133,ATL,LGA
27987,C5 4992,EWR,BGR
27991,YX 3733,EWR,MKE
28013,MQ 3365,LGA,ORF
28026,DL 1182,LGA,MSY
28033,G7 6193,EWR,CVG
28041,9E 3380,PIT,LGA
28055,MQ 3390,JFK,PIT
28067,OO 3673,BNA,JFK
28068,9E 5143,JAX,JFK
28069,YX 3634,SRQ,EWR
28089,B6 704,SJU,JFK
28090,C5 4962,EWR,BTV
28105,MQ 4208,LGA,CLE
28109,YX 5919,LGA,MEM
28123,DL 400,MIA,JFK
28133,AA 1431,LGA,CLT
28134,WN 402,DEN,LGA
28146,WN 5630,LGA,DAL
28153,DL 2949,MSP,EWR
28167,C5 4898,GSP,EWR
28169,9E 3396,PWM,JFK
28185,WN 1136,MDW,LGA
28202,WN 6437,STL,LGA
